page_name,post_id,comment_no,reply_no,comment_text,username_anonymised,post_date,collection_date,replied_to_username
Ibex Media Network,imn_post002,3,0,geo jawad,11f414b468d2a136c0c7a8487c6655f2f09ebf71,25w,1/24/2026 4:28,
Ibex Media Network,imn_post002,4,0,پیراشوٹر نیٹورک,3bacaa633a6e961f7b35d5c0d2910ddb1f0e38ad,23w,1/24/2026 4:28,
Ibex Media Network,imn_post002,5,0,public land should be further clearly described for certain uses should restrict use if public land for military or other federal institutions,3206e8caaae4b4feedb0648bae1da5dcf410cb25,33w,1/24/2026 4:28,
Ibex Media Network,imn_post002,6,0,حکومتی لینڈ ریفارم بل سے گلگت بلتستان میں دودھ اور شہد کی ندیاں بہنی ہے تو وزیر اعلی کا ریجن دیامر اس نعمت سے محروم کیوں,a42f02c91ed653b8eeecebb9ccd996df66618f04,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,7,0,نواز خان ناجی کے لازوال قومی جدوجہد کو سرخ سلام,375f4f2d7a8666d2e22a3f4dd01b0352fbf6ddc0,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,8,0,we strongly condemn the shameful actions of haji gulbar and his puppets they should remember that nawaz khan naji is the true leader of the people of gilgitbaltistan,b7c50d07764d676362f44c3d9fc2241faa396eac,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,9,0,عوام کو پولو کے پیچھے لگا کر انکی مستقبل کا فیصلہ کیا جا رہا ہے اگر عوام اس بار اپنے حقوق کے لیے نہیں نکلے گی تو آنے والی نسلیں ان کو معاف نہیں کرے گی,f844cc79c2ded1d37aae38c4538e140014cf29ab,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,10,0,according to him population of gilgit baltistan is lac he even not know about the population of gb and he is in assembly as a public representative shame,6f52e44de58c68aff0925fa9503ecb2ae6462684,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,10,1,bro kaan thk nhi shayd apky wo nhi laakh bol rahy hain,a2f4956d1938c05ce5b3873918916db6eb78317a,35w,1/24/2026 4:28,6f52e44de58c68aff0925fa9503ecb2ae6462684
Ibex Media Network,imn_post002,11,0,who made these uneducated people politicians,63070b427fd31307653f6c1dbcf262c52cf10edf,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,12,0,گلگت بلتستان ایک بڑے کنویں میں گرنے جارہا ہے نابودی نزدیک ہے گلگت بلتستان کی حالت فلسطین سے بھی بدتر ہوگی گلگت بلتستان کے لوگوں بیدار ہوجاو,421b418fe68804b1a18a1a520b6139b23e142989,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,13,0,حکومت لوگوں پر ظلم کرنا بند کر دے ایک طرف بل کو مسلط کیا جاتا ہے دوسری طرف دہشت پھیلا رہا اور آواز اٹھانے والوں کو بند کیا جاتا ہے ظلم جب بڑھتا ہے تو مٹ جاتا ہے,11138861d91bdbc5b7324bbcc190275c2188b950,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,14,0,where is naji,4ac2e5c6a8ba6bff598976f5588baa029b8dddd6,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,15,0,woh to esa he hai ki gilgit baltistan ki pahad ki choti say darya tak awamiii malkiyat he hai kio b pressure ya power k zor pay awam say zameen nahe cheen sakta,2526d2f7899022586b38b8335b5d61dbb855d2d6,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,16,0,i am from district tangir i stand with amjad aducate and nawaz khan naji,6eebc31cfa1ae3c02a672b6facaedd2fd39c4ed0,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,17,0,سب منافق خوش ہوئے لینڈ ریفامز بل پاس ہوئے شمش گلبر دونوں امجد ایجنسیوں کے خاص ہوئے راجا زکریا صاحب کو سے دعائیں,fc62a8511e395b939a8d9f88d3341420fa0668e7,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,18,0,just listen to them they cant even speak properly and its so unfortunate that they are representing us as our leaders and legislating laws afsoos,d8251f8336ba56c79d3a1522c121bc76851a54b2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,19,0,gilgit kisi ka ka baap ki jaagir nahi hai ya hamari malkiyat hai,cd0a8a5dbfba1783ae947daf464387f102f6472b,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,20,0,one and only leader of balawaristan nawaz khan naji,1ee993f858005407db7772ea3afe7bbc5b00de45,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,21,0,لانت ھو کنجر لوک,740590863eadfb4a8785d38b5ae4b293d8f918c8,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,22,0,shair ho nawaz naizi king of gb,1a023c9f70b391a448866317b7350adf102ab5c4,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,23,0,only nawaz khan naji,424cfbc2d0dc4ae01dd6ae27861a539c5b257035,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,24,0,nawaz khan naji qawom ka beta ha ya jo b btt kr rha ha sahe ha,ca3fdfb94fcc1e2cc551809ec3d12417f47450b7,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,25,0,o bhai ap logg seyasat nahe merasath k chakra mai lagy hyallah maf karyin ko sharam b nahe atii hy,5781b7fe4b64b11082bd72409318c058a54a9649,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,26,0,geoo,6c3b53fa15a8d5597505afc6d65104a10bbcdbb0,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,27,0,amjad sahib public purpose k lia public khud decide karage kitna kis chez k lia chahya tum hotaya kon ho,9fd1fc6b11921929b453f9ab86c9af1cf5c005ed,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,28,0,kaho na gilgit ko bejna chaty hen is liye,306ff3521b7907b22dce447a5b0612db1d2d4026,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,29,0,only naji,0a9755114fe51a3cad99b574ea9b8271c6b37f44,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,30,0,amjad educate tum apni kuc khate ho kanjar,c2c5f3b5a91b80866492c59684a60a06e4ab55b4,32w,1/24/2026 4:28,
Ibex Media Network,imn_post002,31,0,polish log ap log,7371440975731d5caafc8e75e441fadd056551b9,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,32,0,in sb ko ak jaga la k ak show karye t k awam ko ar achy se pata lag jaye kn galat he,7a144b04c65bafee0aae8695fe055d89a6ea2655,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,33,0,ap bap dada ke zamin dado,fd6e8e657e647e899f0c0b6935e4afd4838ac149,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,34,0,pathetic,f294a7de1f6b082e6ef8a6f899bd0c64a61f21f9,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,35,0,bola chutya,f5f7b34ab781c93e406f065a02e18e7e6eb1313d,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,36,0,beroo,2f5bdd4c4fdb365a8870a8bff1eb847200c9e3f1,26w,1/24/2026 4:28,
Ibex Media Network,imn_post002,37,0,only naji sab geo shair,7aba8ef7c1f343d87737da08fdc7a873522b20b1,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,38,0,shame on you all,e56fb74cbbad839d1434c0a2651d646af7fbeff8,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,39,0,geo naji sab,83a07eb1f30624f96e6b352e44d4c4e888ffc02f,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,40,0,o payalo ap ka jo kam ha bakhria charana wo kam karo na seyasat karna ap ki bas ki bat nhi,e550e0f8320f1fdd06426e725c898ad7521312d3,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,41,0,nmbrnomyndaparlantho,d8141fe1950c9e83651f807b948b5ee5c18cebf4,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,42,0,beroo naji,18a8f2fcedc4a4b8f75852083a72ecd4387b7a92,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,43,0,jeo naji,1fc6a26b221a71f35098d3686abcd8c2f22cc9b6,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,44,0,دلال,6a0c1c4c2657603531e5f280df9a2dc8291d7f37,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,45,0,زمینیں تو ختم ہوئی ہیں اب تمہارے اس قانون کی وجہ سے حکومت پہاڑوں اور چراگاہوں پر بھی قبضہ کرے گی,6c3b53fa15a8d5597505afc6d65104a10bbcdbb0,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,46,0,ab zarorat is bat ki he ki tamam khawateen baher nikly gobar khan amjad hafizoo ko sar meedan la k jooton se un ki durgat banaye,32d8493dd74ca3711f4bcf279057f7199c52a311,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,47,0,naji sab geo shair,b87a5fa095ff02e5c36795cad093835a11c746d2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,48,0,reject this land reform bill until our basic rights are prioritized gilgit faces daily power cuts crumbling infrastructure and internet services stuck in the stone age how can anyone claim to reform land when our communities are denied the bare m,039512deb06cd056a0651205f86965723dcf0905,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,49,0,asambilie ma serf nawaz khan naji habaqe sub charwaha ha,7c14031fcbf9fe104e9f60454d23ae01dc15dfc2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,50,0,where is the interview of the lion nawaz khan najiinterview him too he will tell you about this bill,b23252e51267c85543c19475007836cc12dc9ae6,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,51,0,geo nahi sabb,fe354b25f7a64b10a2a7852676c05d41da772d6b,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,52,0,saran kro,e1927c66078eee21002d8d266ddbc3b4e19f507d,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,53,0,naji k paow k mael k barabar nhi,264f105ca7c9136b1a471bad5e7523a91d9ac3ad,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,54,0,bas beghairat insan,32d8493dd74ca3711f4bcf279057f7199c52a311,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,55,0,agr waqi ma awam ki faidy k liye h tu griftarian qn,9b5cf71574d11fa2fa7db346a93d33cee0bb0598,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,56,0,only naji,e2d4ec41ccb46f9500ddf098d1c65372262cdb2d,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,57,0,لعنت تم سمیت لینگڑا سی ایم پر,6eefe95dd21b654b37fc07667a90c3dd5e9bbe1c,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,58,0,naji one man army,61fe3b14b840db37def36751394d4c8876f301c5,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,59,0,شیر,539f83f1458dc7cd072a4beffe142955880e2732,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,60,0,جو بھی قانون بنتا ہے عوام کے مفاد کو مد نظر رکھتے ہوئے بنانا چاہیے,15cf2b87f6e0e68994c553330aa7464b130f9cd8,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,61,0,ناجی خان ناجی خان,fa8854849a4d24195c2fd4305efeb0ff2c8f7940,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,62,0,nawaz naji k elawa sab dalal hai,02b3279765c36bb592dc05ce1e77488546788a36,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,63,0,dalaaloun sey naji orr mesum orr sohail sahb boht achay hain,5242498a8a94f191bc7861c91f0f9772e91dab6f,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,64,0,nawaz khan naji,4879946d46a18f6e7f2266493afdcd35945c01a2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,65,0,bs thy laa tut qann ae q lail hin ah,2f3ffd900f2c9f3ec2478b3f48ca7f236d7525a3,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,66,0,بلکل ان کا حق ایسے ہی ہے اپنے پہاڑو پر جیسے وفاق حکومت پاک جنرلز کا اپنے سویس اکونٹ پر ہے,36e38baa676ac677417c229c0c48a444eed1c4e7,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,67,0,lanat ho yar tum dalalun pay,7cd584edf3e0a2c088753c04b8e1138fd9cdc808,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,68,0,garmi legi ha rehmat khlaq ne bv ke gali de ager ye gale nagi de tu,66f9ab4e89216d6ff5553eef5bdf64affa4416ae,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,69,0,is jahil ko koi bateye gb ke awaam lack nahi lack hai,4146c86eb8243a57fd6f9e429233c2e503f2d056,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,70,0,galt hai garib ki malkiyat hai,4c3fb8686b9783a9bf767368d3a34cc6f3b672dd,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,71,0,اگر یہ بہتر قانون ہے تو اپنے دیامر کو کیوں شامل نہیں کیا ہے,ee900587d93cf139d47135dd4313950b7ee4c71d,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,72,0,اس بل کو عوام کے سامنے لایا جائے عوام ہی فیصلہ کرے گی سارے ان پڑھ بیٹھے ہیں اسمبلی میں کہیں کوئی غلط فیصلہ نہ کرے,c84655b067660b451eeabaa67a65cfe75863ade8,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,73,0,dalall hokomat,6ded819875f4e315f454ede08ddf3c2a98661491,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,74,0,dala,b87a5fa095ff02e5c36795cad093835a11c746d2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,75,0,lanat ho tmara shakal pa,98d0ebe21f7f286152801f170053abcbeae6b36f,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,76,0,یشکن قومی موومنٹ ہاہاہا,2264b40496b8de4253bc41fa98f421355f3ee9e3,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,77,0,naji ky jutee ky barabar nia ha yalog jo naji ky khalaf baty karaha hai only gilgit baltistan king naji sab,26f7319aab5ca0c7c179c89457a64ed31a183e92,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,78,0,gilgit baltistan ka zameen kch dalal begarti mil ka soda nae kar sakta hn,75792bebaaea6f68cf6a76540f648b6f90343107,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,79,0,amjad tum pe lannat kis teh bewaqoof banarhe he,32d8493dd74ca3711f4bcf279057f7199c52a311,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,80,0,love naji,ea9e1144fda9bee85c93f3bdc6756713c76fce29,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,81,0,baki sb dalal or begrat hn bs,75792bebaaea6f68cf6a76540f648b6f90343107,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,82,0,ye pura choron k ek tabar sindh sa le kr gb thak jama kia ha gernalon ne apni policies zabardasti impose krwaney k liye,d2e39a02077e87d043fa834cd1a1e0fa26ade113,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,83,0,shakal se kutaha,27da35823bc9f83620f0602844d3866907edfbb4,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,84,0,good manwa sahb,79fe0c9b06990e5a26fea7b1fcd80f6d42282756,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,85,0,zabrdast,ae3049e738a527846fca1a05863c1edf31f9f213,33w,1/24/2026 4:28,
Ibex Media Network,imn_post002,86,0,chup chor,db8aa86e7ae7c681735295d4f580208afc9ebde6,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,87,0,kon hy ye wala chotiya,b56c999a341db1bd9e336a873f6807cb48df37dd,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,88,0,hahaha ya kn se drama ha,e2a14b31a82b4c4b7afd54b4790297c3bf803979,23w,1/24/2026 4:28,
Ibex Media Network,imn_post002,89,0,awam ko bawaqoof bana raha han or kuch nae,cdbd58637f12dc6be7bc0eaf93840dc500287452,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,90,0,apne naji sahib sy pucha hi nai asal mudakhilad tu unki hain is bill ma unhy puchy taki asal baat samne ayee,45eebbe57ec7032f03cc6410e66ae05d53b4e36f,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,91,0,sub chor ho ak najii ko utha krrr,2dcf66c5f67c406a438d242fbcb98fac4f7493c9,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,92,0,pagal bogon nou naji ga,167818dda42884de8d79304041835d1b63063938,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,93,0,سہولتکاروں نے اپنی مائیں پیش کی ہوئی ہیں پاکستان کو اس لیئے جب ان کی ماںکے یاروں کے خلاف جاوگے تو یہ اوقات دکھائیں گے,d3b769b4848c4919f0aae81899ed865927b0389f,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,94,0,gadon ka jazbat kisi ka kaam nahein ate,05699c260bff4eef664dcc90993cd200fecd8ddc,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,95,0,bay zamir log ek naji sab pay bhari nawaz khan naji,55223a30018d47d1fb909204fdc7c763ff8e3936,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,96,0,naji bero,75792bebaaea6f68cf6a76540f648b6f90343107,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,97,0,you are the facilitator of the establishment dont dare to say that you are representing people of gbyou have sold your faith and now you are trying to sell ours and we are not going to accept it shame on you,e32e21d9e23f77bc5e9fa78a2b67091300cee121,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,98,0,geo naji,aa3ff17edc58fd0647b14a206207d1e31509c4c7,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,99,0,only naji baba jan ehsan,26d85aa2f5129ab01f2883a82a9aa063dd0c1d31,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,100,0,ab hoga gilgitbaltistan ka hashar blochhistan jesa,b76872b0f8bafaee98ec29daef7dc0b63801426a,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,101,0,dalal hukmran,871a22a8db1fe87ae867af386d6317adcbd79f59,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,102,0,thank god that i stand with a leader like this nawaz khan naji and we support nawaz khan naji if it werent for nawaz khanji when would gilgitbaltistan have ended,d18876f472cef656007272137ee72e969d678922,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,108,0,who the hell are you to decide the fate of lac people of gb you yourselves are the slaves of establishment so dont make us slaves as well,94f41a6747dd03c282ea57d872cfad312cc746fe,26w,1/24/2026 4:28,
Ibex Media Network,imn_post002,109,0,بے غیرت آدمی تم جوتے لے کے بل پاس کراے گا تمہاری اوقات کیا ہے ناجی کے جوتی کے برابر تمہاری اوقات نہیںگلگت بلتستان کی اتنی فکر ہے تو یہ کروڑوں کے مراعات واپس کرو اور عوام کیلے کوی فلاحی کام کرو تم بڑا ہمدرد آیا جی بی کے مفاد میں,fba24ada945861b24d6ffc3a0963d8ea60e115e2,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,110,0,only naji sab geo shair,890858be5b251b286dd18c7371dd5f4397e9ca58,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,111,0,chal madarchot dalal naji pa jota othatay ho gandu,bccfb2a462b53b915635f5674299a237cb5b4b24,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,112,0,بڑی ہوشیاری کیا ہےعوام کو پولو کے پیچھے لگا کر انکی مستقبل کا فیصلہ کیا جا رہا ہے اگر عوام اس بار اپنے حقوق کے لیے نہیں نکلے گی تو آنے والی نسلیں ان کو معاف نہیں کرے گی,0392c576de1725b368c6de41e0cd0705f420348f,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,113,0,اگر زمین عوام کی ملکیت ہے تو لیز کے معاہدے اسلام آباد میں کیوں ہوتے ہیں گلگت بلتستان میں دستخط کیوں نہیں کیے جاتے,65d9d69f6bc415f7ca96cb9a8039032934047ee1,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,114,0,منحوس لعنتی سہولت کار مولوی ملعون تم لوگ ہے ہی غدار ناجی صاحب ایک نڈر عوامی لیڈر ہے,1bbc8661d5edc459588ce39226d0159424a8705d,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,115,0,sara ka sara bagwas ha jo gilgit ka zameen ha chaha pahad ho gilgit baltistan ka tum logun ka baap ka nh puri awam mil kr in ko gb sa badakhal krna chahiya vote lyka gb ka zameen ko hatiya dyna ki sajish kr raha hain ya log,c367d24b3552349e4b6b717452a56908611b4351,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,116,0,tum to pahly sa beak chouky ho sub contracter ma b ni aaty ho,90989c6e36d69f15c901c2b956262d03970fa189,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,117,0,sary gn hain bakwas krte hain,ad8a3d76bee702e46d066e83f8d81fd75f10d475,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,118,0,جو کام پیپلس پارٹی کو کرنا چاہیے تھا وہ نواز کا ناظرین اج کر کے دکھایا اسمبلی میں بٹو کا دوسرا روپ نظر ایا ہے نواز کھنڈا,4d0d493edba0b167134fe5a33c6dccf436655440,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,119,0,یہ حرکت کم از کم وزیر اعلی کے منصب پر بھیٹے کوتے کو زیب نہیں دیتا لگتا ہے یہ ایک سکریپٹ کا حصہ تھا جس میں بھرپور اداکاری کی کوشش کیا گیا,113955c4946d6b30d371e5add0de215a755d2615,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,120,0,ya kio ladr nahe ha jahal log ha sap,a92d5931247bad1333c414558189a564f573cdfb,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,121,0,geo najiii,f59231dd363ebf800bb6c3c290d6b7ab78ec76de,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,122,0,supper hero naji,e262d679c23cd611646e2b605053be4b5089deb3,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,123,0,c m,e9d6f09ab0043ce6a535316356a5641a1a30c5a4,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,124,0,naji,69b659dc3d54b1f26426acec2cc0daf37a1d7ad3,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,125,0,payalo,dc28034014990adeb4a10f3279ccbb48752e2eaf,34w,1/24/2026 4:28,
Ibex Media Network,imn_post002,126,0,king naji,9a1552da7b330ad2fd743947a5895d61c39cfe90,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,127,0,green initiative,4adb1b479f75d8e706db26a6237dc71abf089853,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,128,0,already scripted drama,73279fcf0d81890385ea3f0e58c1daa4a518e9ab,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,129,0,excellent alia,fbf426357d4c537c31bfdf5592ca699642bfbb8b,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,130,0,good naji,f01f6eb00a2fdaf9157a53b9780866f32824937f,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,131,0,bero naji,c639769b487faf323bc9b727d77d934adf7654e8,35w,1/24/2026 4:28,
Ibex Media Network,imn_post003,1,0,عباس موسوی صاحب ہمارے بڑے بھائی ہیں ان کا فن خطابت بلاشبہ قابل تعریف ہے مگر اپنا فن خطابت جبر کی توثیق کرانے میں استعمال کر رہے ہیں علی مجیب بھائی آپ کے اس اہم پروگرام میں عباس بھائی نے کہا کہ کوئی بھی بھائی اس معاملے پر چاہے تو ہم سے ڈیبیٹ کرے میں ,1e68f2179de83c5e0a1a6a66f5097c830c86ffc5,34w,1/24/2026 4:34,
Ibex Media Network,imn_post003,1,1,anayat baig میں بھی تیار ہوں,45f4e812b2a3655946dea76b2c42d88f03f2fd63,34w,1/24/2026 4:34,
